Time (Myr) 	 Time-t0 (yr) 	 5deg L_bol (L_sol) 	 15 	 25 	 35 	 45 	 55 	 65 	 75 	 85 
4.156000e-02 	 4.999000e+02 	 2.397670e-02 	 2.397704e-02 	 2.397711e-02 	 2.397722e-02 	 2.397705e-02 	 2.397689e-02 	 2.397711e-02 	 2.397693e-02 	 2.397688e-02 
4.206000e-02 	 9.998000e+02 	 2.441244e-02 	 2.441290e-02 	 2.441307e-02 	 2.441315e-02 	 2.441310e-02 	 2.441295e-02 	 2.441306e-02 	 2.441255e-02 	 2.441263e-02 
4.256000e-02 	 1.499800e+03 	 2.479756e-02 	 2.479831e-02 	 2.479850e-02 	 2.479836e-02 	 2.479834e-02 	 2.479821e-02 	 2.479849e-02 	 2.479803e-02 	 2.479828e-02 
4.306000e-02 	 1.999800e+03 	 2.499765e-02 	 2.499789e-02 	 2.499821e-02 	 2.499812e-02 	 2.499813e-02 	 2.499808e-02 	 2.499811e-02 	 2.499805e-02 	 2.499784e-02 
4.356000e-02 	 2.499800e+03 	 2.517076e-02 	 2.517125e-02 	 2.517125e-02 	 2.517113e-02 	 2.517108e-02 	 2.517104e-02 	 2.517172e-02 	 2.517105e-02 	 2.517071e-02 
4.406000e-02 	 2.999800e+03 	 2.534943e-02 	 2.535032e-02 	 2.535041e-02 	 2.535011e-02 	 2.535009e-02 	 2.535019e-02 	 2.535055e-02 	 2.535037e-02 	 2.534971e-02 
4.456000e-02 	 3.499800e+03 	 2.550931e-02 	 2.551025e-02 	 2.551041e-02 	 2.551009e-02 	 2.551010e-02 	 2.550999e-02 	 2.550985e-02 	 2.551015e-02 	 2.550920e-02 
4.506000e-02 	 3.999800e+03 	 2.566912e-02 	 2.567029e-02 	 2.567030e-02 	 2.567003e-02 	 2.566988e-02 	 2.567007e-02 	 2.567013e-02 	 2.567000e-02 	 2.566939e-02 
4.556000e-02 	 4.499800e+03 	 2.583002e-02 	 2.583050e-02 	 2.583059e-02 	 2.583031e-02 	 2.583011e-02 	 2.583023e-02 	 2.583045e-02 	 2.583004e-02 	 2.582977e-02 
4.606000e-02 	 4.999800e+03 	 2.597415e-02 	 2.597482e-02 	 2.597457e-02 	 2.597431e-02 	 2.597409e-02 	 2.597404e-02 	 2.597424e-02 	 2.597370e-02 	 2.597350e-02 
4.656000e-02 	 5.499800e+03 	 2.613942e-02 	 2.614057e-02 	 2.614032e-02 	 2.614025e-02 	 2.613979e-02 	 2.613985e-02 	 2.613978e-02 	 2.613970e-02 	 2.613959e-02 
