Time (Myr) 	 Time-t0 (yr) 	 5deg L_bol (L_sol) 	 15 	 25 	 35 	 45 	 55 	 65 	 75 	 85
1.818000e-01   2.500000e+03    7.084774e-02 	 7.083209e-02 	 7.082710e-02 	 7.084435e-02 	 7.086318e-02 	 7.087024e-02 	 7.087941e-02 	 7.087893e-02 	 7.085928e-02
1.843000e-01 	 5.000000e+03 	 7.359077e-02 	 7.356595e-02 	 7.355138e-02 	 7.356130e-02 	 7.358280e-02 	 7.360075e-02 	 7.360849e-02 	 7.359450e-02 	 7.358016e-02
1.868000e-01 	 7.500000e+03 	 7.616022e-02 	 7.613671e-02 	 7.611246e-02 	 7.610378e-02 	 7.610731e-02 	 7.610681e-02 	 7.609913e-02 	 7.607465e-02 	 7.605153e-02
1.893000e-01 	 1.000000e+04 	 7.840102e-02 	 7.836972e-02 	 7.834512e-02 	 7.833782e-02 	 7.834611e-02 	 7.834825e-02 	 7.834783e-02 	 7.832283e-02 	 7.830440e-02
1.918000e-01 	 1.250000e+04 	 8.045933e-02 	 8.043505e-02 	 8.040458e-02 	 8.039248e-02 	 8.039881e-02 	 8.040453e-02 	 8.040922e-02 	 8.038564e-02 	 8.036986e-02
1.943000e-01 	 1.500000e+04 	 6.965812e-02 	 6.971076e-02 	 6.975112e-02 	 6.975885e-02 	 6.975650e-02 	 6.973982e-02 	 6.968758e-02 	 6.958078e-02 	 6.517330e-02
1.968000e-01 	 1.750000e+04 	 7.902988e-02 	 7.916212e-02 	 7.925646e-02 	 7.929932e-02 	 7.926277e-02 	 7.916792e-02 	 7.898311e-02 	 7.787672e-02 	 6.840738e-02
1.993000e-01 	 2.000000e+04 	 8.328128e-02 	 8.340575e-02 	 8.346752e-02 	 8.347797e-02 	 8.340354e-02 	 8.326127e-02 	 8.302138e-02 	 7.937089e-02 	 7.092969e-02
2.018000e-01 	 2.250000e+04 	 1.391419e-01 	 1.392022e-01 	 1.391945e-01 	 1.389922e-01 	 1.386140e-01 	 1.379727e-01 	 1.369738e-01 	 1.232621e-01 	 1.124216e-01
2.043000e-01 	 2.500000e+04 	 3.249808e-01 	 3.247172e-01 	 3.241066e-01 	 3.228173e-01 	 3.208100e-01 	 3.179638e-01 	 3.138134e-01 	 2.716557e-01 	 2.555655e-01
2.068000e-01 	 2.750000e+04 	 6.017405e-01 	 6.006555e-01 	 5.992254e-01 	 5.960192e-01 	 5.911184e-01 	 5.842552e-01 	 5.739192e-01 	 4.909821e-01 	 4.619058e-01
2.093000e-01 	 3.000000e+04 	 2.323529e+00 	 2.328617e+00 	 2.312184e+00 	 2.298553e+00 	 2.278210e+00 	 2.246909e+00 	 2.201306e+00 	 2.004386e+00 	 1.893905e+00
2.118000e-01 	 3.250000e+04 	 4.778594e+00 	 4.768629e+00 	 4.754483e+00 	 4.730032e+00 	 4.689256e+00 	 4.623985e+00 	 4.524375e+00 	 4.211118e+00 	 3.978397e+00
2.143000e-01 	 3.500000e+04 	 4.819606e+00 	 4.815923e+00 	 4.806389e+00 	 4.789434e+00 	 4.754739e+00 	 4.694509e+00 	 4.598395e+00 	 4.264023e+00 	 4.014613e+00
2.168000e-01 	 3.750000e+04 	 3.339882e+00 	 3.335683e+00 	 3.330993e+00 	 3.315010e+00 	 3.294524e+00 	 3.250775e+00 	 3.183703e+00 	 2.957082e+00 	 2.782503e+00
2.193000e-01 	 4.000000e+04 	 9.242276e+00 	 9.223804e+00 	 9.190807e+00 	 9.145458e+00 	 9.067439e+00 	 8.939430e+00 	 8.734679e+00 	 8.108906e+00 	 7.618068e+00
2.218000e-01 	 4.250000e+04 	 7.973509e+00 	 7.969393e+00 	 7.969455e+00 	 7.950840e+00 	 7.908287e+00 	 7.812826e+00 	 7.648365e+00 	 7.031646e+00 	 6.603874e+00
2.227200e-01 	 4.342000e+04 	 4.021445e+01 	 4.014204e+01 	 3.998227e+01 	 3.977227e+01 	 3.952064e+01 	 3.900144e+01 	 3.805982e+01 	 3.496920e+01 	 3.278865e+01
2.243000e-01 	 4.500000e+04 	 1.202817e+01 	 1.200236e+01 	 1.200132e+01 	 1.198121e+01 	 1.189803e+01 	 1.176327e+01 	 1.150165e+01 	 1.054520e+01 	 9.911803e+00
2.268000e-01 	 4.750000e+04 	 3.965789e+00 	 3.961427e+00 	 3.951214e+00 	 3.940277e+00 	 3.918575e+00 	 3.876428e+00 	 3.792042e+00 	 3.454368e+00 	 3.220650e+00
2.293000e-01 	 5.000000e+04 	 6.494585e+00 	 6.495772e+00 	 6.486356e+00 	 6.466401e+00 	 6.430057e+00 	 6.341938e+00 	 6.200951e+00 	 5.631435e+00 	 5.280467e+00
2.318000e-01 	 5.250000e+04 	 5.756462e+00 	 5.749222e+00 	 5.742309e+00 	 5.719455e+00 	 5.679189e+00 	 5.606175e+00 	 5.475696e+00 	 4.975044e+00 	 4.659743e+00
2.325800e-01 	 5.328001e+04 	 7.753631e+01 	 7.746479e+01 	 7.734407e+01 	 7.667846e+01 	 7.596243e+01 	 7.456489e+01 	 7.270661e+01 	 6.688133e+01 	 6.312315e+01
2.326000e-01 	 5.330000e+04 	 5.853469e+01 	 5.833996e+01 	 5.790605e+01 	 5.763692e+01 	 5.699594e+01 	 5.610529e+01 	 5.454878e+01 	 4.998065e+01 	 4.692716e+01
2.326400e-01 	 5.334000e+04 	 4.285592e+01 	 4.286350e+01 	 4.253867e+01 	 4.230005e+01 	 4.184118e+01 	 4.118421e+01 	 4.008838e+01 	 3.671076e+01 	 3.443638e+01
2.327800e-01 	 5.348000e+04 	 5.074935e+01 	 5.074426e+01 	 5.047751e+01 	 5.013918e+01 	 4.969734e+01 	 4.883760e+01 	 4.745699e+01 	 4.329354e+01 	 4.064350e+01
2.343000e-01 	 5.500000e+04 	 4.355180e+00 	 4.359009e+00 	 4.347737e+00 	 4.333765e+00 	 4.312108e+00 	 4.260119e+00 	 4.160979e+00 	 3.720692e+00 	 3.489513e+00
2.368000e-01 	 5.750000e+04 	 4.850819e+00 	 4.851001e+00 	 4.847215e+00 	 4.828373e+00 	 4.838333e+00 	 4.748669e+00 	 4.636381e+00 	 4.137613e+00 	 3.861995e+00
