Time (Myr) 	 Time-t0 (yr) 	 5deg T_bol (K) 	 15 	 25 	 35 	 45 	 55 	 65 	 75 	 85 
2.232000e-01 	 3.000000e+03 	 1.555453e+01 	 1.555429e+01 	 1.555379e+01 	 1.555387e+01 	 1.555465e+01 	 1.555538e+01 	 1.555646e+01 	 1.555677e+01 	 1.555659e+01 
2.262000e-01 	 6.000000e+03 	 1.626020e+01 	 1.625986e+01 	 1.625896e+01 	 1.625842e+01 	 1.625812e+01 	 1.625824e+01 	 1.625861e+01 	 1.625805e+01 	 1.625745e+01 
2.292000e-01 	 9.000000e+03 	 1.693930e+01 	 1.693952e+01 	 1.693916e+01 	 1.693884e+01 	 1.693857e+01 	 1.693837e+01 	 1.693899e+01 	 1.693881e+01 	 1.693801e+01 
2.322000e-01 	 1.200000e+04 	 1.747150e+01 	 1.750416e+01 	 1.753246e+01 	 1.755675e+01 	 1.757397e+01 	 1.758446e+01 	 1.758520e+01 	 1.733130e+01 	 1.520869e+01 
2.352000e-01 	 1.500000e+04 	 5.318722e+01 	 5.328591e+01 	 5.344498e+01 	 5.372423e+01 	 5.402172e+01 	 5.440088e+01 	 5.475421e+01 	 5.359384e+01 	 5.353590e+01 
2.382000e-01 	 1.800000e+04 	 6.019736e+01 	 6.025691e+01 	 6.040623e+01 	 6.060558e+01 	 6.086734e+01 	 6.125127e+01 	 6.157240e+01 	 5.950046e+01 	 5.973083e+01 
2.412000e-01 	 2.100000e+04 	 6.362413e+01 	 6.378587e+01 	 6.393186e+01 	 6.414639e+01 	 6.448792e+01 	 6.489960e+01 	 6.524232e+01 	 6.193945e+01 	 6.223440e+01 
2.442000e-01 	 2.400000e+04 	 6.884240e+01 	 6.899302e+01 	 6.715496e+01 	 6.764690e+01 	 6.995633e+01 	 7.049880e+01 	 6.962234e+01 	 6.591523e+01 	 6.670199e+01 
2.472000e-01 	 2.700000e+04 	 6.434174e+01 	 6.452175e+01 	 6.465132e+01 	 6.484181e+01 	 6.505355e+01 	 6.525846e+01 	 6.543698e+01 	 5.664097e+01 	 5.692451e+01 
2.502000e-01 	 3.000000e+04 	 7.213116e+01 	 7.228809e+01 	 7.255514e+01 	 7.249388e+01 	 7.312638e+01 	 7.339624e+01 	 7.360398e+01 	 6.618234e+01 	 6.642058e+01 
2.532000e-01 	 3.300000e+04 	 7.703572e+01 	 7.722425e+01 	 7.750470e+01 	 7.800812e+01 	 7.821990e+01 	 7.868785e+01 	 7.869827e+01 	 6.943658e+01 	 6.987907e+01 
2.562000e-01 	 3.600000e+04 	 7.800392e+01 	 7.826379e+01 	 7.842285e+01 	 7.939921e+01 	 7.832164e+01 	 7.940722e+01 	 7.812965e+01 	 6.804139e+01 	 6.864345e+01 
2.592000e-01 	 3.900000e+04 	 7.676679e+01 	 7.680566e+01 	 7.686780e+01 	 7.705765e+01 	 7.708762e+01 	 7.716622e+01 	 7.658589e+01 	 6.204443e+01 	 6.241788e+01 
2.622000e-01 	 4.200000e+04 	 7.764728e+01 	 7.800153e+01 	 7.830154e+01 	 7.870552e+01 	 7.866173e+01 	 7.887139e+01 	 7.858327e+01 	 6.206164e+01 	 6.310850e+01 
2.652000e-01 	 4.500000e+04 	 8.424876e+01 	 8.445728e+01 	 8.450662e+01 	 8.461958e+01 	 8.452967e+01 	 8.444138e+01 	 8.355006e+01 	 6.865420e+01 	 6.980946e+01 
2.664800e-01 	 4.628000e+04 	 1.001197e+02 	 1.009853e+02 	 1.014244e+02 	 1.018114e+02 	 1.025875e+02 	 1.037746e+02 	 1.034694e+02 	 9.170987e+01 	 9.249555e+01 
2.682000e-01 	 4.800000e+04 	 8.692437e+01 	 8.720200e+01 	 8.873942e+01 	 8.975382e+01 	 8.864291e+01 	 8.815767e+01 	 8.378843e+01 	 5.739192e+01 	 5.836017e+01 
2.686000e-01 	 4.839999e+04 	 1.114025e+02 	 1.109471e+02 	 1.124179e+02 	 1.117184e+02 	 1.122623e+02 	 1.133401e+02 	 1.129029e+02 	 9.795186e+01 	 9.902402e+01 
2.712000e-01 	 5.100000e+04 	 9.136850e+01 	 9.178279e+01 	 9.212947e+01 	 9.184384e+01 	 9.151994e+01 	 9.082038e+01 	 8.615328e+01 	 5.657837e+01 	 5.640203e+01 
2.720400e-01 	 5.184001e+04 	 1.037621e+02 	 1.039128e+02 	 1.046416e+02 	 1.042049e+02 	 1.047383e+02 	 1.047978e+02 	 1.039686e+02 	 8.652758e+01 	 8.809387e+01 
2.735600e-01 	 5.335999e+04 	 1.113958e+02 	 1.122133e+02 	 1.121905e+02 	 1.124436e+02 	 1.131811e+02 	 1.135047e+02 	 1.101560e+02 	 8.865848e+01 	 8.773998e+01 
2.742000e-01 	 5.400000e+04 	 1.115785e+02 	 1.117904e+02 	 1.111289e+02 	 1.106708e+02 	 1.089994e+02 	 1.073983e+02 	 9.523974e+01 	 5.146921e+01 	 5.043603e+01 
2.755600e-01 	 5.535999e+04 	 1.141836e+02 	 1.148835e+02 	 1.157656e+02 	 1.147642e+02 	 1.152452e+02 	 1.153177e+02 	 1.091707e+02 	 8.210802e+01 	 8.152785e+01 
2.772000e-01 	 5.700000e+04 	 1.138223e+02 	 1.124528e+02 	 1.134249e+02 	 1.123012e+02 	 1.115840e+02 	 1.092180e+02 	 9.883508e+01 	 5.381538e+01 	 5.278380e+01 
2.802000e-01 	 6.000000e+04 	 9.986819e+01 	 1.000625e+02 	 1.000553e+02 	 9.953690e+01 	 9.975992e+01 	 9.910182e+01 	 9.289922e+01 	 6.574535e+01 	 6.573461e+01 
2.832000e-01 	 6.300000e+04 	 1.010201e+02 	 1.013934e+02 	 1.020241e+02 	 1.013088e+02 	 1.017579e+02 	 1.014793e+02 	 9.598302e+01 	 6.338969e+01 	 6.356686e+01 
2.862000e-01 	 6.600000e+04 	 1.237233e+02 	 1.247903e+02 	 1.244081e+02 	 1.249280e+02 	 1.232215e+02 	 1.224971e+02 	 1.084441e+02 	 6.123579e+01 	 5.946559e+01 
2.892000e-01 	 6.900000e+04 	 1.252496e+02 	 1.253459e+02 	 1.259251e+02 	 1.248957e+02 	 1.247503e+02 	 1.232908e+02 	 1.129224e+02 	 6.156006e+01 	 6.188477e+01 
2.922000e-01 	 7.200000e+04 	 1.264831e+02 	 1.254881e+02 	 1.253205e+02 	 1.259369e+02 	 1.240052e+02 	 1.237359e+02 	 1.015803e+02 	 6.421507e+01 	 6.092958e+01 
2.931800e-01 	 7.297999e+04 	 1.293354e+02 	 1.302823e+02 	 1.366029e+02 	 1.365040e+02 	 1.329081e+02 	 1.321144e+02 	 1.178028e+02 	 8.698505e+01 	 8.673718e+01 
2.932000e-01 	 7.299998e+04 	 1.220987e+02 	 1.242872e+02 	 1.259872e+02 	 1.229331e+02 	 1.228115e+02 	 1.240798e+02 	 1.087990e+02 	 7.833549e+01 	 7.831194e+01 
