Time (Myr) 	 Time-t0 (yr) 	 5deg T_bol (K) 	 15 	 25 	 35 	 45 	 55 	 65 	 75 	 85
1.818000e-01   2.500000e+03    1.576696e+01 	 1.576646e+01 	 1.576582e+01 	 1.576649e+01 	 1.576747e+01 	 1.576768e+01 	 1.576806e+01 	 1.576798e+01 	 1.576711e+01
1.843000e-01 	 5.000000e+03 	 1.670969e+01 	 1.670877e+01 	 1.670802e+01 	 1.670836e+01 	 1.670893e+01 	 1.670933e+01 	 1.670970e+01 	 1.670887e+01 	 1.670854e+01
1.868000e-01 	 7.500000e+03 	 1.760734e+01 	 1.760758e+01 	 1.760687e+01 	 1.760724e+01 	 1.760752e+01 	 1.760735e+01 	 1.760765e+01 	 1.760730e+01 	 1.760622e+01
1.893000e-01 	 1.000000e+04 	 1.848753e+01 	 1.848782e+01 	 1.848726e+01 	 1.848766e+01 	 1.848788e+01 	 1.848769e+01 	 1.848922e+01 	 1.848780e+01 	 1.848693e+01
1.918000e-01 	 1.250000e+04 	 1.936550e+01 	 1.936623e+01 	 1.936538e+01 	 1.936580e+01 	 1.936544e+01 	 1.936537e+01 	 1.936652e+01 	 1.936405e+01 	 1.936421e+01
1.943000e-01 	 1.500000e+04 	 1.679498e+01 	 1.681693e+01 	 1.683573e+01 	 1.684999e+01 	 1.686115e+01 	 1.686830e+01 	 1.686882e+01 	 1.684845e+01 	 1.530305e+01
1.968000e-01 	 1.750000e+04 	 2.023594e+01 	 2.029888e+01 	 2.035185e+01 	 2.039875e+01 	 2.043337e+01 	 2.045775e+01 	 2.046349e+01 	 1.989020e+01 	 1.577347e+01
1.993000e-01 	 2.000000e+04 	 2.304769e+01 	 2.312070e+01 	 2.318555e+01 	 2.323820e+01 	 2.327807e+01 	 2.330569e+01 	 2.331092e+01 	 2.059305e+01 	 1.625390e+01
2.018000e-01 	 2.250000e+04 	 3.773238e+01 	 3.783098e+01 	 3.794953e+01 	 3.805776e+01 	 3.817312e+01 	 3.827889e+01 	 3.835893e+01 	 2.804690e+01 	 2.423897e+01
2.043000e-01 	 2.500000e+04 	 9.005943e+01 	 9.024489e+01 	 9.053874e+01 	 9.085297e+01 	 9.117480e+01 	 9.174821e+01 	 9.232233e+01 	 5.739832e+01 	 5.677173e+01
2.068000e-01 	 2.750000e+04 	 1.322635e+02 	 1.325636e+02 	 1.331090e+02 	 1.334118e+02 	 1.340131e+02 	 1.351039e+02 	 1.359864e+02 	 8.436997e+01 	 8.527455e+01
2.093000e-01 	 3.000000e+04 	 1.040511e+02 	 1.110440e+02 	 1.042289e+02 	 1.044304e+02 	 1.045924e+02 	 1.048742e+02 	 1.053916e+02 	 7.788346e+01 	 7.857934e+01
2.118000e-01 	 3.250000e+04 	 8.698544e+01 	 8.698805e+01 	 8.710379e+01 	 8.710763e+01 	 8.717349e+01 	 8.728329e+01 	 8.739644e+01 	 7.283270e+01 	 7.329236e+01
2.143000e-01 	 3.500000e+04 	 8.146388e+01 	 8.159355e+01 	 8.174965e+01 	 8.191949e+01 	 8.207423e+01 	 8.236678e+01 	 8.259668e+01 	 6.881111e+01 	 6.921786e+01
2.168000e-01 	 3.750000e+04 	 7.833385e+01 	 7.852227e+01 	 7.845282e+01 	 7.866587e+01 	 7.909293e+01 	 7.946107e+01 	 7.976969e+01 	 6.827788e+01 	 6.883810e+01
2.193000e-01 	 4.000000e+04 	 8.430908e+01 	 8.443473e+01 	 8.460746e+01 	 8.491803e+01 	 8.497815e+01 	 8.535521e+01 	 8.547698e+01 	 7.622988e+01 	 7.684470e+01
2.218000e-01 	 4.250000e+04 	 8.443481e+01 	 8.496447e+01 	 8.580720e+01 	 8.601732e+01 	 8.720977e+01 	 8.735109e+01 	 8.752125e+01 	 7.424286e+01 	 7.401682e+01
2.227200e-01 	 4.342000e+04 	 9.546438e+01 	 9.573247e+01 	 9.576817e+01 	 9.587432e+01 	 9.678991e+01 	 9.748488e+01 	 9.781036e+01 	 8.712442e+01 	 8.750830e+01
